[GC 66048K->4568K(250880K), 0.0021405 secs]
[GC 70616K->6536K(316928K), 0.0026420 secs]
[GC 138632K->4096K(316928K), 0.0017732 secs]
[GC 136119K->4528K(449024K), 0.0018208 secs]
[GC 268720K->4496K(449024K), 0.0020877 secs]
[GC 268688K->2992K(708608K), 0.0013879 secs]
[GC 530864K->2532K(709120K), 0.0018986 secs]
[GC 530404K->4044K(1237504K), 0.0008922 secs]
[GC 1059788K->5836K(1183744K), 0.0016637 secs]
[GC 1011916K->2612K(1133568K), 0.0008506 secs]
[GC 961588K->2596K(1096192K), 0.0004871 secs]
[GC 917028K->2708K(1046528K), 0.0006458 secs]
[GC 874644K->2884K(1013248K), 0.0003558 secs]
[GC 834372K->2963K(967680K), 0.0006986 secs]
Game Won in 2003 moves.
